Pathway,ID,Status,CellLine,Genes,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RB P107 DN.V1 UP,Neg,NO_BENIGN,CAOV3,COL6A1,COL6A1,2.75292117406489e-5,-0.729496230449945,1,1,0.329855015076455
RB P107 DN.V1 UP,Neg,NO_BENIGN,CAOV3,BGN,BGN,1.73580215850016e-4,-0.843240775380491,1,1,1
RB P107 DN.V1 UP,Neg,NO_BENIGN,CAOV3,LOXL1,LOXL1,0.00289593645936526,-0.189937967845013,1,1,1
ERB2 UP.V1 UP,Pos,NO_BENIGN,CAOV3,TBC1D8,TBC1D8,5.69667215475515e-4,0.77517962480571,1,1,1
ERB2 UP.V1 UP,Pos,NO_BENIGN,CAOV3,VTCN1,VTCN1,4.78836354688089e-6,1.03157460445072,1,1,0.0573741720187269
ERB2 UP.V1 UP,Pos,NO_BENIGN,CAOV3,ITGB6,ITGB6,2.00230454781459e-4,0.758705513030928,1,1,1
ERB2 UP.V1 UP,Pos,NO_BENIGN,CAOV3,PCDH1,PCDH1,1.02750958198286e-4,0.549288011180556,1,1,1
MEK UP.V1 UP,Pos,NO_BENIGN,CAOV3,POR,POR,1.18770666974195e-5,0.383973620476351,1,1,0.14231101316848
MEK UP.V1 UP,Pos,NO_BENIGN,CAOV3,TMPRSS4,TMPRSS4,5.25876100209091e-4,1.09920806010653,1,1,1
MEK UP.V1 UP,Pos,NO_BENIGN,CAOV3,TBC1D8,TBC1D8,5.69667215475515e-4,0.77517962480571,1,1,1
MEK UP.V1 UP,Pos,NO_BENIGN,CAOV3,PCDH1,PCDH1,1.02750958198286e-4,0.549288011180556,1,1,1
